pitcher_name,game_year,team,pitcher,player_name.x,role,appearences,threat,pressure,momentum,danger,hero_save,hero_hold,hero_losing,hero_total,threat_plus,pressure_plus,momentum_plus,danger_plus,hero_save_plus,hero_hold_plus,hero_losing_plus,hero_plus,player_name.y,avg_danger_final,total_appearances.x,player_name,avg_net_danger,total_appearances.y
Austin Pruitt,2023,OAK,643493,"Pruitt, Austin",RP,38,0.430902924,-0.096370199,0.005663264,-0.034169354,0.19920347,1.132195946,0.909523846,2.240923262,93.5887606,99.72938243,98.67831644,95.77246089,92.68566427,105.7546669,111.2606471,99.32278986,"Pruitt, Austin",-0.012373804,38,"Pruitt, Austin",0.02179555,38
Austin Voth,2023,BAL,608723,"Voth, Austin",RP,25,0.446732585,-0.098651794,0.006494811,-0.042414931,-0.105319541,0.490524912,0.275754979,0.66096035,97.11339917,100.5101091,105.2245267,103.1158397,90.44698557,97.40759023,94.4823753,90.91250056,"Voth, Austin",-0.024770602,25,"Voth, Austin",0.017644329,25
Austin Voth,2024,SEA,608723,"Voth, Austin",RP,68,0.419054238,-0.096245424,0.005513843,-0.035191923,0.825809342,0.45382236,1.02217649,2.301808191,92.09064325,99.3883825,98.11948304,97.31086649,96.599297,95.71418162,114.1929025,98.43085243,"Voth, Austin",-0.004519416,68,"Voth, Austin",0.030672507,68
Bailey Horn,2024,BOS,690544,"Horn, Bailey",RP,18,0.417600447,-0.081666034,0.007428887,-0.034754528,0.231384366,0,0.031812218,0.263196584,91.71335228,94.32342628,115.2604847,96.92431571,92.43596902,90.46497425,87.99066231,88.42258946,"Horn, Bailey",-0.021043615,18,"Horn, Bailey",0.013710913,18
Beau Brieske,2023,DET,689225,"Brieske, Beau",RP,25,0.434479874,-0.101919654,0.005927557,-0.038862374,1.331486116,0.191571597,0.213119722,1.736177435,94.38520583,101.6283209,100.7589189,99.95198985,101.0095575,93.51870308,92.82418186,96.63598095,"Brieske, Beau",-0.019781924,25,"Brieske, Beau",0.01908045,25
Beau Brieske,2024,DET,689225,"Brieske, Beau",RP,46,0.472078836,-0.102361247,0.004213814,-0.045697986,2.186845074,1.386609466,0.794450545,4.367905085,105.8516993,101.5130513,86.48330156,106.5956698,106.131935,106.5034097,108.1679175,108.5740504,"Brieske, Beau",-0.011223685,46,"Brieske, Beau",0.0344743,46
Ben Heller,2023,ATL,621294,"Heller, Ben",RP,19,0.431362011,-0.061315585,0.004688011,-0.024016411,0.328799638,0,0.140829432,0.469629069,93.69098112,87.73423151,91.00081194,86.73041371,93.63838104,91.0266741,90.910383,89.89402639,"Heller, Ben",-0.002214301,19,"Heller, Ben",0.02180211,19
Ben Joyce,2024,LAA,690829,"Joyce, Ben",RP,31,0.442776538,-0.131462068,0.005503328,-0.04867546,3.035131179,1.525900243,0.110662702,4.671694124,98.24710492,111.6228283,98.0253636,109.2270327,112.0732959,108.1145383,90.07682333,110.0654578,"Joyce, Ben",-0.00108983,31,"Joyce, Ben",0.04758563,31
Blake Treinen,2024,LAD,595014,"Treinen, Blake",RP,50,0.458848422,-0.132949982,0.005687694,-0.048452496,1.425727944,1.93548223,0.383626968,3.744837142,102.4181142,112.1397373,99.67557477,109.0299869,100.8011021,112.8520325,97.29868649,105.5151902,"Treinen, Blake",-0.000519924,50,"Treinen, Blake",0.047932573,50
Bowden Francis,2023,TOR,670102,"Francis, Bowden",RP,20,0.44506494,-0.029627508,0.006395956,-0.014768636,0.434267527,0,0.690277226,1.124544753,96.74208059,76.89105752,104.446304,78.49449376,94.41372054,91.0266741,105.4563554,93.38020339,"Francis, Bowden",-0.000448698,20,"Francis, Bowden",0.014319938,20
